tipo;uri;parent_uri;fecha;usuario;id_anonimo;contenido;likes;reposts;replies;media_path;idioma_ia;relevancia_ia;seguidores;texto_citado
POST;at://did:plc:5ojekzzv6wft33qjpaofamjj/app.bsky.feed.post/3mk4qbf7hmw24;at://did:plc:5ojekzzv6wft33qjpaofamjj/app.bsky.feed.post/3mk4qbf7hmw24;2026-04-23T00:16:18Z;ilgiorno.bsky.social;756BF07E46777AF8;;0;0;0;;Desconocido;SI;40;
POST;at://did:plc:w3wwrbinrcq2px4x2gt3x3sb/app.bsky.feed.post/3mk4ncszbek2y;at://did:plc:w3wwrbinrcq2px4x2gt3x3sb/app.bsky.feed.post/3mk4ncszbek2y;2026-04-22T23:23:25.682Z;homemdocafeezx.bsky.social;2077FAA7ACBBE8FB;;2;0;0;;Desconocido;SI;1376;
POST;at://did:plc:27f4h5wo67asop7hywgqzcoz/app.bsky.feed.post/3mk4lq27cih2a;at://did:plc:27f4h5wo67asop7hywgqzcoz/app.bsky.feed.post/3mk4lq27cih2a;2026-04-22T22:55:01Z;chordsworld.bsky.social;FE859A259293E092;"ROSALÍA - Jeanne Chords

Does anyone know the strumming pattern for this song?";0;0;0;;Desconocido;SI;12;
POST;at://did:plc:3afhd5jskmjh24neui6sw7tf/app.bsky.feed.post/3mk4l4nmaik2f;at://did:plc:3afhd5jskmjh24neui6sw7tf/app.bsky.feed.post/3mk4l4nmaik2f;2026-04-22T22:44:11.203Z;crisisenpi.bsky.social;9A0F6F916AC8A16F;Ni Lola Índigo ni Rosalía son latinas.;2;0;0;;Desconocido;SI;759;El evento será transmitido por Telemundo el próximo jueves 23 de abril.
POST;at://did:plc:7zw6euiay4tdf7mphq2opnks/app.bsky.feed.post/3mk4kiu3z3n2i;at://did:plc:7zw6euiay4tdf7mphq2opnks/app.bsky.feed.post/3mk4kiu3z3n2i;2026-04-22T22:33:06.176Z;20minutos.es;A399E3FBE89D4E7D;El evento será transmitido por Telemundo el próximo jueves 23 de abril.;2;1;0;;Desconocido;SI;17408;
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4jvexvl22q;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4jvexvl22q;2026-04-22T22:22:13.525Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Nog eentje dan #Rosalía #Amsterdam #dag1 #ZiggoDome;3;1;0;;Desconocido;SI;345;
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4jpu3tis2q;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4jpu3tis2q;2026-04-22T22:19:08.056Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Rosalía rockt! #Amsterdam #Dag1 #ZiggoDome;4;0;0;;Desconocido;SI;345;
POST;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4jidbe3c2q;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4jidbe3c2q;2026-04-22T22:14:55.530Z;huisvrouwblues.bsky.social;B383392551EDC4A6;Goeiedag! #Rosalía #Amsterdam #Ziggodome;4;0;2;;Desconocido;SI;345;
COMENTARIO;at://did:plc:wasl3hddrg35wyfvibo2ko3b/app.bsky.feed.post/3mk5bjovxpc24;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4jidbe3c2q;2026-04-23T05:25:11.098Z;debuski.bsky.social;DBE885567D7F3A68;Met vertaling haha!;1;0;1;;Desconocido;SI;;
COMENTARIO;at://did:plc:3vhyksg6a5nw77ebuukwxpgv/app.bsky.feed.post/3mk53fcbg322p;at://did:plc:pmyexuyh7nm3xznv37xptivv/app.bsky.feed.post/3mk4jidbe3c2q;2026-04-23T03:35:21.173Z;tanjadegraaf.bsky.social;CC304FF96F2EFF8A;Jaloers!;0;0;1;;Desconocido;SI;;
